"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"302842116","03/14/2025","15:50:00","BROOKLYN","OUTSIDE","76","1","TRANSIT","(null)","N","18-24","M","BLACK","25-44","M","BLACK","982,688","185,908","40.67696","-74.005629","POINT (-74.005629 40.67696)"
"299948481","01/23/2025","22:10:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,014,109","180,072","40.660892","-73.892377","POINT (-73.892377 40.660892)"
"305364227","04/25/2025","21:20:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","F","BLACK","1,009,581","236,611","40.816093","-73.908485","POINT (-73.908485 40.816093)"
"309605578","07/14/2025","16:20:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","65+","M","BLACK","25-44","M","BLACK","1,005,164","244,991","40.839104","-73.924416","POINT (-73.924416 40.839104)"
"307729376","06/07/2025","21:49:00","BRONX","OUTSIDE","52","0","STREET","(null)","Y","<18","M","WHITE HISPANIC","18-24","M","BLACK","1,012,468","255,375","40.867584","-73.897975","POINT (-73.897975 40.867584)"
"308965098","07/02/2025","02:50:00","MANHATTAN","OUTSIDE","32","0","STREET","(null)","N","25-44","M","BLACK","45-64","M","BLACK","997,329","233,660","40.808017","-73.952753","POINT (-73.952753 40.808017)"
"307841555","06/10/2025","02:37:00","MANHATTAN","OUTSIDE","33","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,002,521","246,742","40.843916","-73.933965","POINT (-73.933965 40.843916)"
"302197815","03/06/2025","16:50:00","BROOKLYN","OUTSIDE","63","0","STREET","GAS STATION","N","45-64","M","BLACK","25-44","M","BLACK","1,006,460","169,245","40.631196","-73.919982","POINT (-73.919982 40.631196)"
"299470064","01/15/2025","01:00:00","MANHATTAN","OUTSIDE","34","0","STREET","(null)","N","45-64","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1,003,614","255,446","40.86779354","-73.92998844","POINT (-73.92998844 40.86779354)"
"305036739","04/20/2025","06:35:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC","1,006,490","244,533","0","0","POINT (0 0)"
"311757222","08/23/2025","19:27:00","BRONX","OUTSIDE","47","0","PLAYGROUND","(null)","Y","25-44","M","BLACK","<18","F","BLACK","1,028,261","257,789","40.87413587","-73.84086067","POINT (-73.84086067 40.87413587)"
"302312792","03/07/2025","18:15:00","BROOKLYN","OUTSIDE","79","0","STREET","(null)","Y","(null)","(null)","(null)","18-24","M","BLACK","998,617","186,863","40.679569","-73.948203","POINT (-73.948203 40.679569)"
"298756519","01/01/2025","23:18:00","QUEENS","OUTSIDE","103","0","COMMERCIAL","BAR/NIGHT CLUB","N","(null)","(null)","(null)","18-24","M","BLACK","1,036,944","194,475","40.700318","-73.809959","POINT (-73.809959 40.700318)"
"308517351","06/23/2025","15:55:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","<18","M","BLACK","18-24","M","BLACK","1,007,588","179,461","40.659233","-73.915885","POINT (-73.915885 40.659233)"
"304789869","04/15/2025","11:00:00","BRONX","OUTSIDE","50","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","18-24","M","BLACK","1,011,732","257,490","40.873392","-73.900629","POINT (-73.900629 40.873392)"
"308510109","06/23/2025","11:31:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,024,846","257,597","40.873635","-73.85321","POINT (-73.85321 40.873635)"
"303861624","03/29/2025","13:21:00","BROOKLYN","OUTSIDE","81","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","<18","M","BLACK","18-24","M","BLACK","1,000,876","191,778","40.693058","-73.940046","POINT (-73.940046 40.693058)"
"309147442","07/04/2025","23:47:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","Y","25-44","M","BLACK","25-44","M","BLACK","1,012,631","181,866","40.66582","-73.897697","POINT (-73.897697 40.66582)"
"301018725","02/12/2025","21:11:00","BROOKLYN","OUTSIDE","79","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","18-24","M","BLACK","25-44","M","WHITE HISPANIC","999,258","193,584","40.698016","-73.945876","POINT (-73.945876 40.698016)"
"311110783","08/12/2025","19:30:00","QUEENS","OUTSIDE","102","0","STREET","(null)","Y","25-44","M","ASIAN / PACIFIC ISLANDER","25-44","M","ASIAN / PACIFIC ISLANDER","1,028,531","189,548","40.686842","-73.840335","POINT (-73.840335 40.686842)"
"311757223","08/24/2025","01:41:00","MANHATTAN","OUTSIDE","33","0","STREET","(null)","N","<18","M","BLACK","<18","M","BLACK","1,001,229","245,822","40.841393","-73.938634","POINT (-73.938634 40.841393)"
"301256131","02/17/2025","22:54:00","QUEENS","OUTSIDE","114","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","M","BLACK","1,002,126","215,903","40.759272","-73.935472","POINT (-73.935472 40.759272)"
"298756517","01/01/2025","05:15:00","BRONX","OUTSIDE","44","0","STREET","(null)","Y","45-64","M","BLACK","45-64","M","BLACK","1,009,255","244,278","40.83712653","-73.90963478","POINT (-73.90963478 40.83712653)"
"303898920","03/30/2025","22:50:00","BROOKLYN","INSIDE","75","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","65+","M","BLACK","1,014,285","185,709","40.676364","-73.891718","POINT (-73.891718 40.676364)"
"312521186","09/07/2025","21:08:00","MANHATTAN","OUTSIDE","23","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,001,245","228,856","40.794825","-73.938619","POINT (-73.938619 40.794825)"
"310276534","07/26/2025","02:41:00","BROOKLYN","OUTSIDE","77","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK","993,388","187,627","40.681675","-73.967054","POINT (-73.967054 40.681675)"
"311756930","08/23/2025","21:14:00","BROOKLYN","OUTSIDE","73","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","18-24","M","BLACK","1,010,830","181,517","40.664869","-73.904191","POINT (-73.904191 40.664869)"
"305878320","05/05/2025","18:00:00","BRONX","INSIDE","46","0","DWELLING","MULTI DWELL - APT BUILD","N","18-24","M","BLACK","18-24","M","BLACK HISPANIC","1,010,590","250,447","40.854063","-73.904784","POINT (-73.904784 40.854063)"
"311931929","08/26/2025","14:30:00","BRONX","OUTSIDE","48","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1,017,035","245,577","40.84066645","-73.88151242","POINT (-73.88151242 40.84066645)"
"300131386","01/27/2025","23:15:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","BLACK","1,001,768","234,797","40.811131","-73.936716","POINT (-73.936716 40.811131)"
"306610278","05/17/2025","17:49:00","MANHATTAN","OUTSIDE","23","0","STREET","(null)","Y","18-24","M","BLACK","<18","M","BLACK","1,000,275","229,995","40.79794458","-73.94212156","POINT (-73.94212156 40.79794458)"
"310871271","08/07/2025","17:01:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,004,315","191,647","40.692691","-73.927646","POINT (-73.927646 40.692691)"
"312100260","08/29/2025","20:57:00","BRONX","OUTSIDE","52","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1,013,973","253,476","40.862367","-73.892544","POINT (-73.892544 40.862367)"
"312795109","09/12/2025","07:43:00","BRONX","OUTSIDE","48","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,013,387","250,602","40.854481","-73.894674","POINT (-73.894674 40.854481)"
"303562943","03/24/2025","01:25:00","BROOKLYN","OUTSIDE","69","0","STREET","(null)","N","18-24","M","BLACK","45-64","M","BLACK","1,012,661","174,513","40.6456289","-73.89762056","POINT (-73.89762056 40.6456289)"
"298949942","01/03/2025","17:30:00","BRONX","OUTSIDE","44","0","STREET","(null)","Y","25-44","M","BLACK HISPANIC","<18","M","WHITE HISPANIC","1,007,076","246,675","40.843722","-73.917502","POINT (-73.917502 40.843722)"
"313373627","09/23/2025","22:20:00","BRONX","INSIDE","41","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","25-44","F","BLACK","1,013,070","238,702","40.82182","-73.895872","POINT (-73.895872 40.82182)"
"301745796","02/26/2025","13:43:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","<18","M","BLACK","18-24","M","BLACK","1,027,595","264,660","40.893009","-73.843223","POINT (-73.843223 40.893009)"
"308517352","06/23/2025","14:36:00","QUEENS","OUTSIDE","113","0","STREET","(null)","Y","45-64","M","BLACK","45-64","F","BLACK","1,048,273","188,365","40.683473","-73.769162","POINT (-73.769162 40.683473)"
"309560883","07/13/2025","14:33:00","MANHATTAN","OUTSIDE","26","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","M","BLACK","996,894","236,589","40.816058","-73.95432","POINT (-73.95432 40.816058)"
"307067373","05/26/2025","23:59:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,006,328","177,267","40.653215","-73.920431","POINT (-73.920431 40.653215)"
"305004828","04/19/2025","02:30:00","BROOKLYN","OUTSIDE","88","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","993,693","192,830","40.695956","-73.965945","POINT (-73.965945 40.695956)"
"298877584","01/04/2025","00:43:00","BROOKLYN","OUTSIDE","75","0","COMMERCIAL","BAR/NIGHT CLUB","N","45-64","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC","1,015,628","186,760","40.679244","-73.886873","POINT (-73.886873 40.679244)"
"300131383","01/27/2025","16:30:00","QUEENS","INSIDE","107","0","DWELLING","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","18-24","M","BLACK","1,051,246","203,301","40.724446","-73.758293","POINT (-73.758293 40.724446)"
"310820653","08/06/2025","14:45:00","BRONX","OUTSIDE","42","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,009,695","243,534","40.835094","-73.908048","POINT (-73.908048 40.835094)"
"310613388","08/02/2025","16:48:00","BROOKLYN","OUTSIDE","72","0","STREET","(null)","N","<18","M","WHITE HISPANIC","<18","M","BLACK HISPANIC","985,759","180,468","40.66203","-73.994561","POINT (-73.994561 40.66203)"
"309666554","07/15/2025","21:52:00","BRONX","OUTSIDE","48","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,013,910","251,999","40.85830398","-73.892778","POINT (-73.892778 40.85830398)"
"311175692","08/13/2025","01:45:00","QUEENS","OUTSIDE","114","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","45-64","M","BLACK","1,009,077","214,329","40.754934","-73.91039","POINT (-73.91039 40.754934)"
"309415108","07/10/2025","20:54:00","MANHATTAN","OUTSIDE","25","0","STREET","(null)","N","(null)","(null)","(null)","25-44","F","WHITE HISPANIC","1,001,949","231,211","40.801288","-73.936073","POINT (-73.936073 40.801288)"
"300131385","01/27/2025","19:16:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,024,745","262,868","40.88809295","-73.85354344","POINT (-73.85354344 40.88809295)"
"308373655","06/19/2025","23:30:00","BROOKLYN","OUTSIDE","79","0","STREET","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","25-44","M","BLACK","998,273","193,028","40.696493","-73.949429","POINT (-73.949429 40.696493)"
"311327863","08/17/2025","03:27:00","BROOKLYN","OUTSIDE","71","0","COMMERCIAL","BAR/NIGHT CLUB","N","25-44","M","BLACK","25-44","M","BLACK","995,600","182,496","40.66759","-73.959087","POINT (-73.959087 40.66759)"
"306369562","05/13/2025","16:42:00","BRONX","OUTSIDE","42","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,008,756","239,468","40.82392587","-73.91145567","POINT (-73.91145567 40.82392587)"
"307632868","06/05/2025","13:18:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","<18","M","BLACK HISPANIC","<18","M","BLACK","1,010,882","247,996","40.8473266","-73.90374022","POINT (-73.90374022 40.8473266)"
"307558032","06/04/2025","13:30:00","QUEENS","OUTSIDE","109","0","STREET","(null)","N","18-24","M","WHITE HISPANIC","45-64","M","WHITE","1,040,376","224,023","40.781398","-73.797336","POINT (-73.797336 40.781398)"
"305163494","04/22/2025","22:27:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","Y","25-44","M","BLACK","45-64","F","BLACK","997,853","230,889","40.800413","-73.950866","POINT (-73.950866 40.800413)"
"310305117","07/27/2025","18:45:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","18-24","M","BLACK","18-24","M","WHITE HISPANIC","1,008,110","244,858","40.83872163","-73.91377061","POINT (-73.91377061 40.83872163)"
"305637546","04/30/2025","22:33:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1,019,318","184,803","40.673859","-73.873576","POINT (-73.873576 40.673859)"
"306651416","05/18/2025","18:45:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","18-24","M","BLACK","45-64","M","BLACK","1,013,673","252,644","40.860085","-73.89363","POINT (-73.89363 40.860085)"
"308834266","06/29/2025","22:13:00","MANHATTAN","OUTSIDE","6","0","STREET","(null)","N","<18","M","BLACK","<18","F","BLACK","983,652","206,379","40.73315","-74.002157","POINT (-74.002157 40.73315)"
"300430000","02/02/2025","01:24:00","BRONX","OUTSIDE","48","0","STREET","(null)","Y","<18","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","1,011,981","247,838","40.846899","-73.899769","POINT (-73.899769 40.846899)"
"312200896","09/01/2025","18:47:00","BROOKLYN","OUTSIDE","71","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK","995,441","183,745","40.671016","-73.959656","POINT (-73.959656 40.671016)"
"301313414","02/18/2025","15:42:00","BRONX","OUTSIDE","40","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,006,343","234,269","40.809673","-73.920192","POINT (-73.920192 40.809673)"
"308096531","06/15/2025","04:45:00","BRONX","OUTSIDE","52","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,018,056","262,031","40.885834","-73.877738","POINT (-73.877738 40.885834)"
"310971422","08/10/2025","04:40:00","QUEENS","OUTSIDE","104","0","STREET","HOSPITAL","N","(null)","(null)","(null)","18-24","F","WHITE HISPANIC","1,008,130","202,660","40.72289932","-73.91384832","POINT (-73.91384832 40.72289932)"
"303861625","03/29/2025","21:38:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","F","BLACK","1,004,934","235,728","40.81368","-73.925276","POINT (-73.925276 40.81368)"
"303476410","03/22/2025","20:13:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,009,059","180,294","40.661517","-73.910579","POINT (-73.910579 40.661517)"
"303861626","03/30/2025","02:45:00","BRONX","OUTSIDE","43","0","STREET","(null)","N","(null)","(null)","(null)","25-44","F","BLACK HISPANIC","1,021,853","242,624","40.832551","-73.864117","POINT (-73.864117 40.832551)"
"300951837","02/11/2025","15:57:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,024,398","266,422","40.897859","-73.854775","POINT (-73.854775 40.897859)"
"307581456","06/04/2025","23:45:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","WHITE HISPANIC","1,003,468","238,054","40.820068","-73.930566","POINT (-73.930566 40.820068)"
"303275049","03/20/2025","00:59:00","MANHATTAN","OUTSIDE","34","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","1,006,609","255,632","40.868306","-73.919159","POINT (-73.919159 40.868306)"
"311045536","08/11/2025","16:40:00","BRONX","OUTSIDE","47","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","M","BLACK","1,026,480","262,584","0","0","POINT (0 0)"
"310650149","08/03/2025","21:22:00","BROOKLYN","OUTSIDE","72","0","OTHER","HOSPITAL","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","978,439","174,981","40.646966","-74.020939","POINT (-74.020939 40.646966)"
"313097431","09/17/2025","20:44:00","BROOKLYN","OUTSIDE","70","0","STREET","(null)","Y","18-24","M","BLACK","18-24","M","BLACK","994,649","177,116","40.652822","-73.962522","POINT (-73.962522 40.652822)"
"306651765","05/18/2025","21:30:00","BROOKLYN","OUTSIDE","75","0","OTHER","(null)","N","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1,015,966","188,407","40.68375359","-73.8856456","POINT (-73.8856456 40.68375359)"
"311327863","08/17/2025","03:27:00","BROOKLYN","OUTSIDE","71","0","COMMERCIAL","BAR/NIGHT CLUB","Y","25-44","M","BLACK","18-24","M","BLACK","995,600","182,496","40.66759","-73.959087","POINT (-73.959087 40.66759)"
"307442122","06/02/2025","22:25:00","BRONX","OUTSIDE","47","0","DWELLING","MULTI DWELL - APT BUILD","N","25-44","M","BLACK","25-44","M","BLACK","1,022,068","259,202","40.878053","-73.863245","POINT (-73.863245 40.878053)"
"305404406","04/26/2025","20:19:00","BROOKLYN","OUTSIDE","81","0","STREET","(null)","N","18-24","M","BLACK","<18","M","BLACK","1,005,156","186,537","40.678662","-73.924629","POINT (-73.924629 40.678662)"
"311423744","08/19/2025","06:15:00","BROOKLYN","OUTSIDE","60","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","18-24","M","BLACK","984,147","150,277","40.579162","-74.000371","POINT (-74.000371 40.579162)"
"309605579","07/14/2025","14:30:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","25-44","F","BLACK","25-44","F","BLACK","1,000,000","238,478","40.821238","-73.943094","POINT (-73.943094 40.821238)"
"312200897","09/01/2025","18:55:00","BROOKLYN","OUTSIDE","71","0","STREET","(null)","N","25-44","M","BLACK","45-64","M","BLACK","997,874","180,875","40.66312629","-73.95089285","POINT (-73.95089285 40.66312629)"
"302333819","03/09/2025","19:50:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1,010,673","191,059","40.691058","-73.90472","POINT (-73.90472 40.691058)"
"311227345","08/14/2025","22:10:00","MANHATTAN","OUTSIDE","7","0","STREET","(null)","N","<18","M","BLACK HISPANIC","<18","F","BLACK","989,137","201,443","40.719599","-73.982369","POINT (-73.982369 40.719599)"
"300131384","01/27/2025","12:20:00","BROOKLYN","OUTSIDE","67","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","65+","M","BLACK","996,949","176,623","40.651466","-73.954236","POINT (-73.954236 40.651466)"
"306610276","05/17/2025","21:57:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","Y","18-24","M","WHITE HISPANIC","18-24","M","BLACK","1,014,679","179,606","40.65961","-73.890327","POINT (-73.890327 40.65961)"
"300412112","02/01/2025","21:15:00","BRONX","OUTSIDE","47","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK","25-44","F","BLACK","1,030,929","260,796","40.882385","-73.831191","POINT (-73.831191 40.882385)"
"312797203","09/12/2025","01:20:00","QUEENS","OUTSIDE","106","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER","1,038,358","184,258","40.672267","-73.804944","POINT (-73.804944 40.672267)"
"310122094","07/23/2025","20:05:00","QUEENS","OUTSIDE","114","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,009,550","218,949","40.767615","-73.908662","POINT (-73.908662 40.767615)"
"304882359","04/16/2025","19:51:00","BRONX","OUTSIDE","40","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,010,740","237,209","40.817729","-73.904295","POINT (-73.904295 40.817729)"
"309529689","07/13/2025","10:07:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","N","(null)","(null)","(null)","65+","F","BLACK","1,000,242","171,647","40.637804","-73.942377","POINT (-73.942377 40.637804)"
"308800537","06/28/2025","22:00:00","BRONX","OUTSIDE","42","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK","1,009,703","242,326","40.83176758","-73.90802316","POINT (-73.90802316 40.83176758)"
"313612569","09/28/2025","21:43:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,007,696","241,825","40.830407","-73.915277","POINT (-73.915277 40.830407)"
"301529587","02/22/2025","00:38:00","BRONX","INSIDE","45","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","25-44","F","WHITE HISPANIC","18-24","M","BLACK HISPANIC","1,032,397","238,442","40.821023","-73.826044","POINT (-73.826044 40.821023)"
"306369562","05/13/2025","16:42:00","BRONX","OUTSIDE","42","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK","1,008,756","239,468","40.82392587","-73.91145567","POINT (-73.91145567 40.82392587)"
"304727807","04/14/2025","16:53:00","BRONX","OUTSIDE","46","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,012,256","250,079","40.853048","-73.898764","POINT (-73.898764 40.853048)"
"310613388","08/02/2025","16:48:00","BROOKLYN","OUTSIDE","72","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","<18","M","BLACK HISPANIC","985,759","180,468","40.66203","-73.994561","POINT (-73.994561 40.66203)"
"308005977","06/12/2025","21:00:00","BRONX","OUTSIDE","49","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,021,186","247,214","40.845153","-73.866501","POINT (-73.866501 40.845153)"
"301178228","02/15/2025","17:00:00","QUEENS","INSIDE","107","0","DWELLING","PVT HOUSE","Y","<18","M","BLACK","<18","F","BLACK","1,048,369","201,076","40.718362","-73.768693","POINT (-73.768693 40.718362)"
"313612567","09/28/2025","19:30:00","QUEENS","OUTSIDE","112","0","STREET","(null)","Y","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,027,275","206,592","40.73361929","-73.84475403","POINT (-73.84475403 40.73361929)"
"304483259","04/09/2025","16:58:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","<18","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1,012,701","253,506","40.86244422","-73.89714218","POINT (-73.89714218 40.86244422)"
"308800534","06/28/2025","20:20:00","BRONX","OUTSIDE","40","2","HOUSING","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,005,674","234,940","40.811515","-73.922607","POINT (-73.922607 40.811515)"
"311661548","08/22/2025","21:07:00","BROOKLYN","OUTSIDE","88","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","995,596","187,694","40.681856","-73.959091","POINT (-73.959091 40.681856)"
"313612998","09/28/2025","20:53:00","BRONX","OUTSIDE","40","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,007,684","235,949","40.81427012","-73.91534128","POINT (-73.91534128 40.81427012)"
